id,goal_id,game_id,season_id,team_id,player_id,jersey_number
2_goal_64_minus_68,2_goal_64,2,1,6,68,6
2_goal_64_minus_74,2_goal_64,2,1,6,74,12
2_goal_64_minus_126,2_goal_64,2,1,6,126,17
2_goal_64_minus_75,2_goal_64,2,1,6,75,20
2_goal_64_minus_76,2_goal_64,2,1,6,76,40
2_goal_65_minus_71,2_goal_65,2,1,6,71,3
2_goal_65_minus_67,2_goal_65,2,1,6,67,14
2_goal_65_minus_66,2_goal_65,2,1,6,66,22
2_goal_65_minus_100,2_goal_65,2,1,6,100,24
2_goal_65_minus_76,2_goal_65,2,1,6,76,40
2_goal_66_minus_67,2_goal_66,2,1,6,67,14
2_goal_66_minus_73,2_goal_66,2,1,6,73,27
2_goal_66_minus_89,2_goal_66,2,1,6,89,34
2_goal_66_minus_69,2_goal_66,2,1,6,69,41
2_goal_66_minus_165,2_goal_66,2,1,6,165,76
2_goal_67_minus_71,2_goal_67,2,1,6,71,3
2_goal_67_minus_67,2_goal_67,2,1,6,67,14
2_goal_67_minus_73,2_goal_67,2,1,6,73,27
2_goal_67_minus_89,2_goal_67,2,1,6,89,34
2_goal_67_minus_69,2_goal_67,2,1,6,69,41
3_goal_68_minus_163,3_goal_68,3,1,3,163,4
3_goal_68_minus_80,3_goal_68,3,1,3,80,24
3_goal_68_minus_31,3_goal_68,3,1,3,31,29
3_goal_68_minus_82,3_goal_68,3,1,3,82,96
3_goal_69_minus_62,3_goal_69,3,1,5,62,2
3_goal_69_minus_55,3_goal_69,3,1,5,55,10
3_goal_69_minus_61,3_goal_69,3,1,5,61,14
3_goal_69_minus_56,3_goal_69,3,1,5,56,15
3_goal_69_minus_58,3_goal_69,3,1,5,58,19
3_goal_70_minus_164,3_goal_70,3,1,3,164,10
3_goal_70_minus_98,3_goal_70,3,1,3,98,15
3_goal_70_minus_80,3_goal_70,3,1,3,80,24
3_goal_70_minus_30,3_goal_70,3,1,3,30,43
3_goal_70_minus_82,3_goal_70,3,1,3,82,96
3_goal_71_minus_55,3_goal_71,3,1,5,55,10
3_goal_71_minus_61,3_goal_71,3,1,5,61,14
3_goal_71_minus_56,3_goal_71,3,1,5,56,15
3_goal_71_minus_58,3_goal_71,3,1,5,58,19
3_goal_71_minus_51,3_goal_71,3,1,5,51,28
3_goal_72_minus_56,3_goal_72,3,1,5,56,15
3_goal_72_minus_57,3_goal_72,3,1,5,57,17
3_goal_72_minus_53,3_goal_72,3,1,5,53,26
4_goal_73_minus_9,4_goal_73,4,1,1,9,17
4_goal_73_minus_1,4_goal_73,4,1,1,1,20
4_goal_73_minus_5,4_goal_73,4,1,1,5,22
4_goal_73_minus_4,4_goal_73,4,1,1,4,27
4_goal_73_minus_10,4_goal_73,4,1,1,10,97
4_goal_74_minus_12,4_goal_74,4,1,1,12,5
4_goal_74_minus_167,4_goal_74,4,1,1,167,7
4_goal_74_minus_9,4_goal_74,4,1,1,9,17
4_goal_74_minus_1,4_goal_74,4,1,1,1,20
4_goal_74_minus_4,4_goal_74,4,1,1,4,27
4_goal_75_minus_117,4_goal_75,4,1,2,117,9
4_goal_75_minus_20,4_goal_75,4,1,2,20,26
4_goal_75_minus_21,4_goal_75,4,1,2,21,27
4_goal_75_minus_119,4_goal_75,4,1,2,119,36
4_goal_75_minus_104,4_goal_75,4,1,2,104,41
4_goal_76_minus_2,4_goal_76,4,1,1,2,2
4_goal_76_minus_18,4_goal_76,4,1,1,18,9
4_goal_76_minus_11,4_goal_76,4,1,1,11,18
4_goal_76_minus_17,4_goal_76,4,1,1,17,37
4_goal_76_minus_16,4_goal_76,4,1,1,16,47
4_goal_77_minus_90,4_goal_77,4,1,2,90,22
4_goal_77_minus_129,4_goal_77,4,1,2,129,23
4_goal_77_minus_20,4_goal_77,4,1,2,20,26
4_goal_77_minus_21,4_goal_77,4,1,2,21,27
4_goal_77_minus_104,4_goal_77,4,1,2,104,41
5_goal_78_minus_74,5_goal_78,5,1,6,74,12
5_goal_78_minus_67,5_goal_78,5,1,6,67,14
5_goal_78_minus_65,5_goal_78,5,1,6,65,18
5_goal_78_minus_75,5_goal_78,5,1,6,75,20
5_goal_78_minus_76,5_goal_78,5,1,6,76,40
5_goal_79_minus_38,5_goal_79,5,1,4,38,6
5_goal_79_minus_42,5_goal_79,5,1,4,42,11
5_goal_79_minus_44,5_goal_79,5,1,4,44,17
5_goal_79_minus_34,5_goal_79,5,1,4,34,25
5_goal_80_minus_150,5_goal_80,5,1,4,150,4
5_goal_80_minus_38,5_goal_80,5,1,4,38,6
5_goal_80_minus_42,5_goal_80,5,1,4,42,11
5_goal_80_minus_33,5_goal_80,5,1,4,33,12
5_goal_80_minus_147,5_goal_80,5,1,4,147,71
5_goal_81_minus_131,5_goal_81,5,1,6,131,7
5_goal_81_minus_74,5_goal_81,5,1,6,74,12
5_goal_81_minus_65,5_goal_81,5,1,6,65,18
5_goal_81_minus_75,5_goal_81,5,1,6,75,20
5_goal_81_minus_76,5_goal_81,5,1,6,76,40
5_goal_82_minus_38,5_goal_82,5,1,4,38,6
5_goal_82_minus_36,5_goal_82,5,1,4,36,9
5_goal_82_minus_42,5_goal_82,5,1,4,42,11
5_goal_82_minus_34,5_goal_82,5,1,4,34,25
5_goal_82_minus_149,5_goal_82,5,1,4,149,44
6_goal_83_minus_32,6_goal_83,6,1,3,32,7
6_goal_83_minus_156,6_goal_83,6,1,3,156,8
6_goal_83_minus_84,6_goal_83,6,1,3,84,9
6_goal_83_minus_158,6_goal_83,6,1,3,158,16
6_goal_83_minus_83,6_goal_83,6,1,3,83,23
6_goal_84_minus_84,6_goal_84,6,1,3,84,9
6_goal_84_minus_159,6_goal_84,6,1,3,159,12
6_goal_84_minus_98,6_goal_84,6,1,3,98,15
6_goal_84_minus_30,6_goal_84,6,1,3,30,43
6_goal_84_minus_82,6_goal_84,6,1,3,82,96
6_goal_85_minus_163,6_goal_85,6,1,3,163,4
6_goal_85_minus_164,6_goal_85,6,1,3,164,10
6_goal_85_minus_27,6_goal_85,6,1,3,27,14
6_goal_85_minus_81,6_goal_85,6,1,3,81,26
8_goal_89_minus_101,8_goal_89,8,1,6,101,10
8_goal_89_minus_74,8_goal_89,8,1,6,74,12
8_goal_89_minus_67,8_goal_89,8,1,6,67,14
8_goal_89_minus_126,8_goal_89,8,1,6,126,17
8_goal_89_minus_128,8_goal_89,8,1,6,128,28
8_goal_93_minus_90,8_goal_93,8,1,2,90,22
8_goal_93_minus_129,8_goal_93,8,1,2,129,23
8_goal_93_minus_20,8_goal_93,8,1,2,20,26
8_goal_93_minus_21,8_goal_93,8,1,2,21,27
8_goal_93_minus_104,8_goal_93,8,1,2,104,41
8_goal_96_minus_71,8_goal_96,8,1,6,71,3
8_goal_96_minus_133,8_goal_96,8,1,6,133,5
8_goal_96_minus_75,8_goal_96,8,1,6,75,20
8_goal_96_minus_100,8_goal_96,8,1,6,100,24
8_goal_96_minus_73,8_goal_96,8,1,6,73,27
8_goal_99_minus_74,8_goal_99,8,1,6,74,12
8_goal_99_minus_67,8_goal_99,8,1,6,67,14
8_goal_99_minus_65,8_goal_99,8,1,6,65,18
8_goal_99_minus_75,8_goal_99,8,1,6,75,20
8_goal_99_minus_76,8_goal_99,8,1,6,76,40
9_goal_86_minus_163,9_goal_86,9,1,3,163,4
9_goal_86_minus_164,9_goal_86,9,1,3,164,10
9_goal_86_minus_98,9_goal_86,9,1,3,98,15
9_goal_86_minus_161,9_goal_86,9,1,3,161,21
9_goal_86_minus_157,9_goal_86,9,1,3,157,28
9_goal_88_minus_42,9_goal_88,9,1,4,42,11
9_goal_88_minus_33,9_goal_88,9,1,4,33,12
9_goal_88_minus_87,9_goal_88,9,1,4,87,14
9_goal_88_minus_44,9_goal_88,9,1,4,44,17
9_goal_88_minus_86,9_goal_88,9,1,4,86,67
9_goal_98_minus_42,9_goal_98,9,1,4,42,11
9_goal_98_minus_87,9_goal_98,9,1,4,87,14
9_goal_98_minus_44,9_goal_98,9,1,4,44,17
9_goal_98_minus_147,9_goal_98,9,1,4,147,71
9_goal_91_minus_163,9_goal_91,9,1,3,163,4
9_goal_91_minus_84,9_goal_91,9,1,3,84,9
9_goal_91_minus_31,9_goal_91,9,1,3,31,29
9_goal_91_minus_30,9_goal_91,9,1,3,30,43
9_goal_94_minus_38,9_goal_94,9,1,4,38,6
9_goal_94_minus_37,9_goal_94,9,1,4,37,18
9_goal_94_minus_35,9_goal_94,9,1,4,35,27
9_goal_94_minus_152,9_goal_94,9,1,4,152,59
9_goal_94_minus_86,9_goal_94,9,1,4,86,67
9_goal_95_minus_38,9_goal_95,9,1,4,38,6
9_goal_95_minus_36,9_goal_95,9,1,4,36,9
9_goal_95_minus_42,9_goal_95,9,1,4,42,11
9_goal_95_minus_34,9_goal_95,9,1,4,34,25
9_goal_95_minus_152,9_goal_95,9,1,4,152,59
9_goal_97_minus_36,9_goal_97,9,1,4,36,9
9_goal_97_minus_42,9_goal_97,9,1,4,42,11
9_goal_97_minus_87,9_goal_97,9,1,4,87,14
9_goal_97_minus_44,9_goal_97,9,1,4,44,17
9_goal_97_minus_34,9_goal_97,9,1,4,34,25
9_goal_97_minus_86,9_goal_97,9,1,4,86,67
10_goal_100_minus_71,10_goal_100,10,1,6,71,3
10_goal_100_minus_67,10_goal_100,10,1,6,67,14
10_goal_100_minus_73,10_goal_100,10,1,6,73,27
10_goal_101_minus_133,10_goal_101,10,1,6,133,5
10_goal_101_minus_74,10_goal_101,10,1,6,74,12
10_goal_101_minus_126,10_goal_101,10,1,6,126,17
10_goal_101_minus_128,10_goal_101,10,1,6,128,28
10_goal_102_minus_68,10_goal_102,10,1,6,68,6
10_goal_102_minus_101,10_goal_102,10,1,6,101,10
10_goal_102_minus_74,10_goal_102,10,1,6,74,12
10_goal_102_minus_72,10_goal_102,10,1,6,72,19
10_goal_102_minus_128,10_goal_102,10,1,6,128,28
10_goal_103_minus_62,10_goal_103,10,1,5,62,2
10_goal_103_minus_138,10_goal_103,10,1,5,138,13
10_goal_103_minus_57,10_goal_103,10,1,5,57,17
10_goal_103_minus_53,10_goal_103,10,1,5,53,26
10_goal_103_minus_60,10_goal_103,10,1,5,60,71
10_goal_104_minus_133,10_goal_104,10,1,6,133,5
10_goal_104_minus_126,10_goal_104,10,1,6,126,17
10_goal_104_minus_100,10_goal_104,10,1,6,100,24
10_goal_104_minus_73,10_goal_104,10,1,6,73,27
10_goal_104_minus_165,10_goal_104,10,1,6,165,76
10_goal_105_minus_133,10_goal_105,10,1,6,133,5
10_goal_105_minus_65,10_goal_105,10,1,6,65,18
10_goal_105_minus_66,10_goal_105,10,1,6,66,22
10_goal_105_minus_69,10_goal_105,10,1,6,69,41
10_goal_105_minus_165,10_goal_105,10,1,6,165,76
11_goal_106_minus_12,11_goal_106,11,1,1,12,5
11_goal_106_minus_18,11_goal_106,11,1,1,18,9
11_goal_106_minus_15,11_goal_106,11,1,1,15,11
11_goal_106_minus_11,11_goal_106,11,1,1,11,18
11_goal_106_minus_13,11_goal_106,11,1,1,13,21
11_goal_107_minus_2,11_goal_107,11,1,1,2,2
11_goal_107_minus_167,11_goal_107,11,1,1,167,7
11_goal_107_minus_1,11_goal_107,11,1,1,1,20
11_goal_107_minus_17,11_goal_107,11,1,1,17,37
11_goal_107_minus_16,11_goal_107,11,1,1,16,47
11_goal_108_minus_98,11_goal_108,11,1,3,98,15
11_goal_108_minus_161,11_goal_108,11,1,3,161,21
11_goal_108_minus_29,11_goal_108,11,1,3,29,22
11_goal_108_minus_31,11_goal_108,11,1,3,31,29
11_goal_108_minus_82,11_goal_108,11,1,3,82,96
11_goal_109_minus_32,11_goal_109,11,1,3,32,7
11_goal_109_minus_84,11_goal_109,11,1,3,84,9
11_goal_109_minus_161,11_goal_109,11,1,3,161,21
11_goal_109_minus_83,11_goal_109,11,1,3,83,23
11_goal_109_minus_30,11_goal_109,11,1,3,30,43
11_goal_111_minus_84,11_goal_111,11,1,3,84,9
11_goal_111_minus_80,11_goal_111,11,1,3,80,24
11_goal_111_minus_30,11_goal_111,11,1,3,30,43
12_goal_112_minus_33,12_goal_112,12,1,4,33,12
12_goal_112_minus_146,12_goal_112,12,1,4,146,16
12_goal_112_minus_44,12_goal_112,12,1,4,44,17
12_goal_112_minus_40,12_goal_112,12,1,4,40,19
12_goal_112_minus_152,12_goal_112,12,1,4,152,59
12_goal_113_minus_33,12_goal_113,12,1,4,33,12
12_goal_113_minus_146,12_goal_113,12,1,4,146,16
12_goal_113_minus_44,12_goal_113,12,1,4,44,17
12_goal_113_minus_40,12_goal_113,12,1,4,40,19
12_goal_113_minus_152,12_goal_113,12,1,4,152,59
12_goal_114_minus_23,12_goal_114,12,1,2,23,12
12_goal_114_minus_25,12_goal_114,12,1,2,25,13
12_goal_114_minus_79,12_goal_114,12,1,2,79,19
12_goal_114_minus_90,12_goal_114,12,1,2,90,22
12_goal_115_minus_24,12_goal_115,12,1,2,24,2
12_goal_115_minus_79,12_goal_115,12,1,2,79,19
12_goal_115_minus_20,12_goal_115,12,1,2,20,26
12_goal_115_minus_21,12_goal_115,12,1,2,21,27
12_goal_116_minus_24,12_goal_116,12,1,2,24,2
12_goal_116_minus_23,12_goal_116,12,1,2,23,12
12_goal_116_minus_25,12_goal_116,12,1,2,25,13
13_goal_117_minus_38,13_goal_117,13,1,4,38,6
13_goal_117_minus_45,13_goal_117,13,1,4,45,10
13_goal_117_minus_87,13_goal_117,13,1,4,87,14
13_goal_117_minus_40,13_goal_117,13,1,4,40,19
13_goal_117_minus_86,13_goal_117,13,1,4,86,67
13_goal_118_minus_45,13_goal_118,13,1,4,45,10
13_goal_118_minus_44,13_goal_118,13,1,4,44,17
13_goal_118_minus_37,13_goal_118,13,1,4,37,18
13_goal_118_minus_35,13_goal_118,13,1,4,35,27
13_goal_118_minus_152,13_goal_118,13,1,4,152,59
13_goal_119_minus_163,13_goal_119,13,1,3,163,4
13_goal_119_minus_84,13_goal_119,13,1,3,84,9
13_goal_119_minus_31,13_goal_119,13,1,3,31,29
13_goal_119_minus_30,13_goal_119,13,1,3,30,43
13_goal_120_minus_99,13_goal_120,13,1,3,99,2
13_goal_120_minus_98,13_goal_120,13,1,3,98,15
13_goal_120_minus_161,13_goal_120,13,1,3,161,21
13_goal_120_minus_83,13_goal_120,13,1,3,83,23
13_goal_120_minus_31,13_goal_120,13,1,3,31,29
13_goal_121_minus_38,13_goal_121,13,1,4,38,6
13_goal_121_minus_42,13_goal_121,13,1,4,42,11
13_goal_121_minus_33,13_goal_121,13,1,4,33,12
13_goal_121_minus_87,13_goal_121,13,1,4,87,14
13_goal_121_minus_86,13_goal_121,13,1,4,86,67
14_goal_123_minus_12,14_goal_123,14,1,1,12,5
14_goal_123_minus_18,14_goal_123,14,1,1,18,9
14_goal_123_minus_11,14_goal_123,14,1,1,11,18
14_goal_123_minus_1,14_goal_123,14,1,1,1,20
14_goal_123_minus_13,14_goal_123,14,1,1,13,21
14_goal_126_minus_68,14_goal_126,14,1,6,68,6
14_goal_126_minus_74,14_goal_126,14,1,6,74,12
14_goal_126_minus_75,14_goal_126,14,1,6,75,20
14_goal_126_minus_66,14_goal_126,14,1,6,66,22
14_goal_126_minus_100,14_goal_126,14,1,6,100,24
14_goal_128_minus_68,14_goal_128,14,1,6,68,6
14_goal_128_minus_74,14_goal_128,14,1,6,74,12
14_goal_128_minus_65,14_goal_128,14,1,6,65,18
14_goal_128_minus_72,14_goal_128,14,1,6,72,19
14_goal_128_minus_73,14_goal_128,14,1,6,73,27
14_goal_129_minus_2,14_goal_129,14,1,1,2,2
14_goal_129_minus_167,14_goal_129,14,1,1,167,7
14_goal_129_minus_9,14_goal_129,14,1,1,9,17
14_goal_129_minus_4,14_goal_129,14,1,1,4,27
14_goal_129_minus_14,14_goal_129,14,1,1,14,77
14_goal_130_minus_68,14_goal_130,14,1,6,68,6
14_goal_130_minus_74,14_goal_130,14,1,6,74,12
14_goal_130_minus_75,14_goal_130,14,1,6,75,20
14_goal_130_minus_66,14_goal_130,14,1,6,66,22
14_goal_130_minus_100,14_goal_130,14,1,6,100,24
15_goal_122_minus_23,15_goal_122,15,1,2,23,12
15_goal_122_minus_90,15_goal_122,15,1,2,90,22
15_goal_122_minus_129,15_goal_122,15,1,2,129,23
15_goal_122_minus_20,15_goal_122,15,1,2,20,26
15_goal_122_minus_115,15_goal_122,15,1,2,115,86
15_goal_124_minus_24,15_goal_124,15,1,2,24,2
15_goal_124_minus_105,15_goal_124,15,1,2,105,18
15_goal_124_minus_90,15_goal_124,15,1,2,90,22
15_goal_124_minus_20,15_goal_124,15,1,2,20,26
15_goal_125_minus_52,15_goal_125,15,1,5,52,3
15_goal_125_minus_88,15_goal_125,15,1,5,88,16
15_goal_125_minus_50,15_goal_125,15,1,5,50,21
15_goal_125_minus_49,15_goal_125,15,1,5,49,88
15_goal_127_minus_138,15_goal_127,15,1,5,138,13
15_goal_127_minus_56,15_goal_127,15,1,5,56,15
15_goal_127_minus_57,15_goal_127,15,1,5,57,17
15_goal_127_minus_53,15_goal_127,15,1,5,53,26
15_goal_127_minus_51,15_goal_127,15,1,5,51,28
15_goal_131_minus_63,15_goal_131,15,1,5,63,9
15_goal_131_minus_88,15_goal_131,15,1,5,88,16
15_goal_131_minus_60,15_goal_131,15,1,5,60,71
16_goal_132_minus_167,16_goal_132,16,1,1,167,7
16_goal_132_minus_18,16_goal_132,16,1,1,18,9
16_goal_132_minus_110,16_goal_132,16,1,1,110,16
16_goal_132_minus_109,16_goal_132,16,1,1,109,19
16_goal_132_minus_5,16_goal_132,16,1,1,5,22
16_goal_133_minus_12,16_goal_133,16,1,1,12,5
16_goal_133_minus_11,16_goal_133,16,1,1,11,18
16_goal_133_minus_1,16_goal_133,16,1,1,1,20
16_goal_133_minus_16,16_goal_133,16,1,1,16,47
16_goal_134_minus_7,16_goal_134,16,1,1,7,13
16_goal_134_minus_110,16_goal_134,16,1,1,110,16
16_goal_134_minus_9,16_goal_134,16,1,1,9,17
16_goal_134_minus_109,16_goal_134,16,1,1,109,19
16_goal_134_minus_5,16_goal_134,16,1,1,5,22
16_goal_135_minus_38,16_goal_135,16,1,4,38,6
16_goal_135_minus_42,16_goal_135,16,1,4,42,11
16_goal_135_minus_39,16_goal_135,16,1,4,39,13
16_goal_135_minus_87,16_goal_135,16,1,4,87,14
16_goal_135_minus_37,16_goal_135,16,1,4,37,18
16_goal_136_minus_2,16_goal_136,16,1,1,2,2
16_goal_136_minus_15,16_goal_136,16,1,1,15,11
16_goal_136_minus_109,16_goal_136,16,1,1,109,19
16_goal_136_minus_13,16_goal_136,16,1,1,13,21
16_goal_136_minus_5,16_goal_136,16,1,1,5,22
16_goal_136_minus_8,16_goal_136,16,1,1,8,36
17_goal_137_minus_68,17_goal_137,17,1,6,68,6
17_goal_137_minus_101,17_goal_137,17,1,6,101,10
17_goal_137_minus_67,17_goal_137,17,1,6,67,14
17_goal_137_minus_126,17_goal_137,17,1,6,126,17
17_goal_137_minus_128,17_goal_137,17,1,6,128,28
17_goal_138_minus_163,17_goal_138,17,1,3,163,4
17_goal_138_minus_159,17_goal_138,17,1,3,159,12
17_goal_138_minus_29,17_goal_138,17,1,3,29,22
17_goal_138_minus_81,17_goal_138,17,1,3,81,26
17_goal_138_minus_157,17_goal_138,17,1,3,157,28
17_goal_139_minus_68,17_goal_139,17,1,6,68,6
17_goal_139_minus_74,17_goal_139,17,1,6,74,12
17_goal_139_minus_73,17_goal_139,17,1,6,73,27
17_goal_139_minus_76,17_goal_139,17,1,6,76,40
17_goal_139_minus_69,17_goal_139,17,1,6,69,41
17_goal_140_minus_163,17_goal_140,17,1,3,163,4
17_goal_140_minus_159,17_goal_140,17,1,3,159,12
17_goal_140_minus_27,17_goal_140,17,1,3,27,14
17_goal_140_minus_158,17_goal_140,17,1,3,158,16
17_goal_140_minus_26,17_goal_140,17,1,3,26,42
17_goal_141_minus_84,17_goal_141,17,1,3,84,9
17_goal_141_minus_159,17_goal_141,17,1,3,159,12
17_goal_141_minus_161,17_goal_141,17,1,3,161,21
17_goal_141_minus_80,17_goal_141,17,1,3,80,24
17_goal_141_minus_31,17_goal_141,17,1,3,31,29
17_goal_142_minus_71,17_goal_142,17,1,6,71,3
17_goal_142_minus_67,17_goal_142,17,1,6,67,14
17_goal_142_minus_65,17_goal_142,17,1,6,65,18
17_goal_142_minus_72,17_goal_142,17,1,6,72,19
17_goal_142_minus_73,17_goal_142,17,1,6,73,27
18_goal_143_minus_68,18_goal_143,18,1,6,68,6
18_goal_143_minus_74,18_goal_143,18,1,6,74,12
18_goal_143_minus_65,18_goal_143,18,1,6,65,18
18_goal_143_minus_72,18_goal_143,18,1,6,72,19
18_goal_143_minus_89,18_goal_143,18,1,6,89,34
18_goal_144_minus_52,18_goal_144,18,1,5,52,3
18_goal_144_minus_55,18_goal_144,18,1,5,55,10
18_goal_144_minus_61,18_goal_144,18,1,5,61,14
18_goal_144_minus_58,18_goal_144,18,1,5,58,19
18_goal_144_minus_50,18_goal_144,18,1,5,50,21
18_goal_145_minus_71,18_goal_145,18,1,6,71,3
18_goal_145_minus_67,18_goal_145,18,1,6,67,14
18_goal_145_minus_75,18_goal_145,18,1,6,75,20
18_goal_145_minus_66,18_goal_145,18,1,6,66,22
18_goal_145_minus_100,18_goal_145,18,1,6,100,24
18_goal_146_minus_71,18_goal_146,18,1,6,71,3
18_goal_146_minus_68,18_goal_146,18,1,6,68,6
18_goal_146_minus_66,18_goal_146,18,1,6,66,22
18_goal_146_minus_100,18_goal_146,18,1,6,100,24
18_goal_146_minus_89,18_goal_146,18,1,6,89,34
18_goal_146_minus_76,18_goal_146,18,1,6,76,40
19_goal_147_minus_52,19_goal_147,19,1,5,52,3
19_goal_147_minus_57,19_goal_147,19,1,5,57,17
19_goal_147_minus_53,19_goal_147,19,1,5,53,26
19_goal_147_minus_60,19_goal_147,19,1,5,60,71
19_goal_148_minus_62,19_goal_148,19,1,5,62,2
19_goal_148_minus_63,19_goal_148,19,1,5,63,9
19_goal_148_minus_57,19_goal_148,19,1,5,57,17
19_goal_148_minus_53,19_goal_148,19,1,5,53,26
19_goal_148_minus_60,19_goal_148,19,1,5,60,71
19_goal_150_minus_110,19_goal_150,19,1,1,110,16
19_goal_150_minus_9,19_goal_150,19,1,1,9,17
19_goal_150_minus_11,19_goal_150,19,1,1,11,18
19_goal_150_minus_1,19_goal_150,19,1,1,1,20
19_goal_150_minus_5,19_goal_150,19,1,1,5,22
19_goal_151_minus_12,19_goal_151,19,1,1,12,5
19_goal_151_minus_167,19_goal_151,19,1,1,167,7
19_goal_151_minus_15,19_goal_151,19,1,1,15,11
19_goal_151_minus_110,19_goal_151,19,1,1,110,16
19_goal_153_minus_63,19_goal_153,19,1,5,63,9
19_goal_153_minus_138,19_goal_153,19,1,5,138,13
19_goal_153_minus_56,19_goal_153,19,1,5,56,15
19_goal_153_minus_88,19_goal_153,19,1,5,88,16
19_goal_153_minus_51,19_goal_153,19,1,5,51,28
20_goal_149_minus_117,20_goal_149,20,1,2,117,9
20_goal_149_minus_25,20_goal_149,20,1,2,25,13
20_goal_149_minus_118,20_goal_149,20,1,2,118,25
20_goal_149_minus_20,20_goal_149,20,1,2,20,26
20_goal_149_minus_21,20_goal_149,20,1,2,21,27
20_goal_152_minus_163,20_goal_152,20,1,3,163,4
20_goal_152_minus_156,20_goal_152,20,1,3,156,8
20_goal_152_minus_164,20_goal_152,20,1,3,164,10
20_goal_152_minus_80,20_goal_152,20,1,3,80,24
20_goal_152_minus_81,20_goal_152,20,1,3,81,26
20_goal_154_minus_97,20_goal_154,20,1,2,97,21
20_goal_154_minus_90,20_goal_154,20,1,2,90,22
20_goal_154_minus_129,20_goal_154,20,1,2,129,23
20_goal_154_minus_114,20_goal_154,20,1,2,114,24
20_goal_154_minus_115,20_goal_154,20,1,2,115,86
21_goal_155_minus_44,21_goal_155,21,1,4,44,17
21_goal_155_minus_37,21_goal_155,21,1,4,37,18
21_goal_155_minus_35,21_goal_155,21,1,4,35,27
21_goal_155_minus_152,21_goal_155,21,1,4,152,59
21_goal_155_minus_86,21_goal_155,21,1,4,86,67
21_goal_156_minus_38,21_goal_156,21,1,4,38,6
21_goal_156_minus_42,21_goal_156,21,1,4,42,11
21_goal_156_minus_34,21_goal_156,21,1,4,34,25
21_goal_156_minus_152,21_goal_156,21,1,4,152,59
21_goal_156_minus_86,21_goal_156,21,1,4,86,67
22_goal_157_minus_144,22_goal_157,22,1,5,144,5
22_goal_157_minus_63,22_goal_157,22,1,5,63,9
22_goal_157_minus_88,22_goal_157,22,1,5,88,16
22_goal_157_minus_53,22_goal_157,22,1,5,53,26
22_goal_157_minus_60,22_goal_157,22,1,5,60,71
22_goal_164_minus_99,22_goal_164,22,1,3,99,2
22_goal_164_minus_32,22_goal_164,22,1,3,32,7
22_goal_164_minus_83,22_goal_164,22,1,3,83,23
22_goal_164_minus_30,22_goal_164,22,1,3,30,43
22_goal_165_minus_56,22_goal_165,22,1,5,56,15
22_goal_165_minus_88,22_goal_165,22,1,5,88,16
22_goal_165_minus_58,22_goal_165,22,1,5,58,19
23_goal_159_minus_103,23_goal_159,23,1,2,103,11
23_goal_159_minus_79,23_goal_159,23,1,2,79,19
23_goal_159_minus_129,23_goal_159,23,1,2,129,23
23_goal_159_minus_78,23_goal_159,23,1,2,78,77
23_goal_159_minus_115,23_goal_159,23,1,2,115,86
23_goal_160_minus_23,23_goal_160,23,1,2,23,12
23_goal_160_minus_79,23_goal_160,23,1,2,79,19
23_goal_160_minus_129,23_goal_160,23,1,2,129,23
23_goal_160_minus_114,23_goal_160,23,1,2,114,24
23_goal_160_minus_104,23_goal_160,23,1,2,104,41
23_goal_161_minus_12,23_goal_161,23,1,1,12,5
23_goal_161_minus_167,23_goal_161,23,1,1,167,7
23_goal_161_minus_18,23_goal_161,23,1,1,18,9
23_goal_161_minus_109,23_goal_161,23,1,1,109,19
23_goal_161_minus_16,23_goal_161,23,1,1,16,47
23_goal_162_minus_103,23_goal_162,23,1,2,103,11
23_goal_162_minus_23,23_goal_162,23,1,2,23,12
23_goal_162_minus_118,23_goal_162,23,1,2,118,25
23_goal_162_minus_20,23_goal_162,23,1,2,20,26
23_goal_162_minus_119,23_goal_162,23,1,2,119,36
23_goal_163_minus_12,23_goal_163,23,1,1,12,5
23_goal_163_minus_167,23_goal_163,23,1,1,167,7
23_goal_163_minus_15,23_goal_163,23,1,1,15,11
23_goal_163_minus_13,23_goal_163,23,1,1,13,21
23_goal_163_minus_8,23_goal_163,23,1,1,8,36
23_goal_166_minus_167,23_goal_166,23,1,1,167,7
23_goal_166_minus_1,23_goal_166,23,1,1,1,20
23_goal_166_minus_13,23_goal_166,23,1,1,13,21
23_goal_166_minus_5,23_goal_166,23,1,1,5,22
23_goal_166_minus_17,23_goal_166,23,1,1,17,37
23_goal_167_minus_24,23_goal_167,23,1,2,24,2
23_goal_167_minus_23,23_goal_167,23,1,2,23,12
23_goal_167_minus_25,23_goal_167,23,1,2,25,13
24_goal_168_minus_36,24_goal_168,24,1,4,36,9
24_goal_168_minus_44,24_goal_168,24,1,4,44,17
24_goal_168_minus_40,24_goal_168,24,1,4,40,19
24_goal_168_minus_34,24_goal_168,24,1,4,34,25
24_goal_168_minus_152,24_goal_168,24,1,4,152,59
24_goal_169_minus_24,24_goal_169,24,1,2,24,2
24_goal_169_minus_97,24_goal_169,24,1,2,97,21
24_goal_169_minus_90,24_goal_169,24,1,2,90,22
24_goal_170_minus_44,24_goal_170,24,1,4,44,17
24_goal_170_minus_34,24_goal_170,24,1,4,34,25
24_goal_170_minus_35,24_goal_170,24,1,4,35,27
25_goal_171_minus_117,25_goal_171,25,1,2,117,9
